Kategori,Metrik,Nilai,Persentase
RINGKASAN UMUM,,,
,Total Pesanan,98,100%
,Pesanan Selesai,88,89.8%
,Pesanan Dibatalkan,10,10.2%
,Total Pendapatan,4197560,Rp 4.197.560
,Rata-rata per Pesanan,47700,Rp 47.700
,Total Pelanggan,72,
,Pelanggan Aktif (pernah pesan),34,47.2%
,,,
LEVEL MEMBERSHIP,,,
,Bronze,62,86.1%
,Silver,10,13.9%
,Gold,0,0.0%
,,,
PER LAYANAN,,,
,Deep Clean,Total: 27 | Selesai: 22 | Batal: 5,Rp 1.088.000
,Extra Deep Clean,Total: 13 | Selesai: 12 | Batal: 1,Rp 740.880
,Sahabat Manis,Total: 15 | Selesai: 14 | Batal: 1,Rp 532.000
,Pro Basic Clean,Total: 12 | Selesai: 12 | Batal: 0,Rp 420.000
,Special Clean (5 km),Total: 5 | Selesai: 5 | Batal: 0,Rp 390.000
,Special Clean (10 km),Total: 3 | Selesai: 3 | Batal: 0,Rp 267.840
,Sahabat Akrab,Total: 5 | Selesai: 4 | Batal: 1,Rp 263.840
,Basic Clean,Total: 12 | Selesai: 11 | Batal: 1,Rp 220.000
,Soulmate,Total: 2 | Selesai: 2 | Batal: 0,Rp 200.000
,Jasa Laundry (5 km),Total: 4 | Selesai: 3 | Batal: 1,Rp 75.000
,,,
PER BULAN,,,
,Apr 2026,Total: 35 | Selesai: 30 | Batal: 5,Rp 1.416.880
,Mei 2026,Total: 61 | Selesai: 56 | Batal: 5,Rp 2.715.680
,Jun 2026,Total: 2 | Selesai: 2 | Batal: 0,Rp 65.000
,,,
PER AREA,,,
,Keputih,16 pesanan,Rp 767.000
,Sukolilo,12 pesanan,Rp 695.880
,Manyar,11 pesanan,Rp 509.000
,Klampis,10 pesanan,Rp 508.840
,Nginden,9 pesanan,Rp 433.000
,Gebang,12 pesanan,Rp 406.000
,Mulyosari,10 pesanan,Rp 333.840
,Semolowaru,4 pesanan,Rp 198.000
,Menur,7 pesanan,Rp 176.000
,Medokan,7 pesanan,Rp 170.000
,,,
RATING,,,
,Bintang 5,21,33.3%
,Bintang 4,25,39.7%
,Bintang 3,17,27.0%
,Rata-rata Rating,4.1,/ 5
